seed,phase_epoch,weak_accuracy,full_accuracy,dominant_accuracy,weak_accuracy_gain,full_accuracy_change,dominant_accuracy_change,is_feasible_point,compatibility_bad_checks
83,160,0.83,0.7486,0.6972,0.6013999999999999,-0.13159999999999994,-0.14159999999999995,False,32
83,165,0.8296,0.7406,0.6922,0.601,-0.13959999999999995,-0.14659999999999995,False,33
83,170,0.8318,0.728,0.691,0.6032,-0.1522,-0.14780000000000004,False,34
83,175,0.8334,0.7544,0.6878,0.6048,-0.12580000000000002,-0.15100000000000002,False,35
83,180,0.833,0.7582,0.6952,0.6043999999999999,-0.122,-0.14359999999999995,False,36
83,185,0.833,0.7342,0.6912,0.6043999999999999,-0.14600000000000002,-0.14759999999999995,False,37
83,190,0.8298,0.7392,0.6992,0.6012,-0.14100000000000001,-0.13959999999999995,False,38
83,195,0.839,0.752,0.6988,0.6103999999999999,-0.12819999999999998,-0.14,False,39
83,200,0.8334,0.7178,0.6976,0.6048,-0.1624,-0.1412,False,40
184,5,0.6742,0.453,0.5086,0.4506,-0.4168,-0.2964,False,1
184,10,0.7336,0.5282,0.5518,0.51,-0.3416,-0.2532000000000001,False,2
184,15,0.7556,0.4686,0.5306,0.532,-0.4012,-0.2744000000000001,False,3
184,20,0.778,0.4652,0.5492,0.5544,-0.4046,-0.2558,False,4
184,25,0.7892,0.4996,0.5446,0.5656,-0.37020000000000003,-0.2604000000000001,False,5
184,30,0.781,0.4258,0.5364,0.5574,-0.444,-0.26860000000000006,False,6
184,35,0.7946,0.3922,0.4858,0.571,-0.4776,-0.31920000000000004,False,7
184,40,0.801,0.5056,0.5342,0.5774,-0.36419999999999997,-0.27080000000000004,False,8
184,45,0.8056,0.5272,0.545,0.582,-0.3426,-0.26,False,9
184,50,0.8036,0.586,0.5728,0.58,-0.28380000000000005,-0.23220000000000007,False,10
184,55,0.804,0.5562,0.5326,0.5804,-0.3136,-0.2724000000000001,False,11
184,60,0.8038,0.5686,0.5466,0.5801999999999999,-0.3012,-0.2584000000000001,False,12
184,65,0.807,0.548,0.53,0.5834,-0.3218,-0.275,False,13
184,70,0.8148,0.5404,0.5388,0.5912,-0.3294,-0.2662000000000001,False,14
184,75,0.8116,0.5264,0.5338,0.588,-0.34340000000000004,-0.2712,False,15
184,80,0.818,0.5492,0.5522,0.5943999999999999,-0.3206,-0.2528,False,16
184,85,0.8106,0.5476,0.5498,0.587,-0.32220000000000004,-0.2552000000000001,False,17
184,90,0.8132,0.5568,0.5396,0.5896,-0.31300000000000006,-0.2654000000000001,False,18
184,95,0.819,0.4982,0.526,0.5953999999999999,-0.37160000000000004,-0.279,False,19
184,100,0.8186,0.5578,0.5378,0.595,-0.31200000000000006,-0.2672000000000001,False,20
184,105,0.8142,0.5634,0.5514,0.5906,-0.3064,-0.25360000000000005,False,21
184,110,0.8138,0.5618,0.536,0.5902,-0.30800000000000005,-0.269,False,22
184,115,0.8126,0.5706,0.543,0.589,-0.2992,-0.262,False,23
184,120,0.8186,0.5734,0.551,0.595,-0.2964,-0.254,False,24
184,125,0.8206,0.5346,0.5462,0.597,-0.33520000000000005,-0.25880000000000003,False,25
184,130,0.8178,0.5738,0.5568,0.5942,-0.29600000000000004,-0.2482000000000001,False,26
184,135,0.821,0.5862,0.5604,0.5973999999999999,-0.28359999999999996,-0.24460000000000004,False,27
184,140,0.8144,0.5716,0.5522,0.5908,-0.2982,-0.2528,False,28
184,145,0.8226,0.5774,0.5494,0.599,-0.2924,-0.25560000000000005,False,29
184,150,0.8184,0.5678,0.5432,0.5948,-0.30200000000000005,-0.26180000000000003,False,30
184,155,0.8144,0.5888,0.5284,0.5908,-0.281,-0.27660000000000007,False,31
184,160,0.8186,0.5828,0.5372,0.595,-0.28700000000000003,-0.26780000000000004,False,32
184,165,0.8138,0.5586,0.5374,0.5902,-0.31120000000000003,-0.26760000000000006,False,33
184,170,0.8124,0.5492,0.526,0.5888,-0.3206,-0.279,False,34
184,175,0.826,0.5498,0.5356,0.6023999999999999,-0.32000000000000006,-0.2694000000000001,False,35
184,180,0.8094,0.5594,0.5326,0.5858,-0.3104,-0.2724000000000001,False,36
184,185,0.8156,0.5656,0.5362,0.592,-0.3042,-0.26880000000000004,False,37
184,190,0.8202,0.5472,0.5222,0.5966,-0.3226,-0.28280000000000005,False,38
184,195,0.8218,0.5874,0.5486,0.5982,-0.2824,-0.2564000000000001,False,39
184,200,0.8216,0.554,0.5514,0.598,-0.31579999999999997,-0.25360000000000005,False,40
285,5,0.622,0.465,0.5116,0.4088,-0.4023999999999999,-0.3216,False,1
285,10,0.7288,0.4668,0.5182,0.5156000000000001,-0.40059999999999996,-0.31500000000000006,False,2
285,15,0.7588,0.4438,0.5484,0.5456000000000001,-0.4236,-0.28480000000000005,False,3
285,20,0.7696,0.4462,0.5426,0.5564,-0.42119999999999996,-0.2906000000000001,False,4
285,25,0.7774,0.4922,0.5578,0.5642,-0.3751999999999999,-0.2754000000000001,False,5
285,30,0.7844,0.513,0.563,0.5711999999999999,-0.35439999999999994,-0.2702000000000001,False,6
285,35,0.788,0.4186,0.5474,0.5748,-0.4487999999999999,-0.28580000000000005,False,7
285,40,0.7858,0.4122,0.5258,0.5726,-0.45519999999999994,-0.3074,False,8
285,45,0.7926,0.4898,0.5504,0.5793999999999999,-0.37759999999999994,-0.28280000000000005,False,9
285,50,0.7884,0.4842,0.5706,0.5751999999999999,-0.38319999999999993,-0.26260000000000006,False,10
285,55,0.7944,0.4916,0.574,0.5811999999999999,-0.37579999999999997,-0.2592000000000001,False,11
285,60,0.8006,0.5378,0.5854,0.5873999999999999,-0.3296,-0.24780000000000002,False,12
285,65,0.7992,0.513,0.5992,0.5860000000000001,-0.35439999999999994,-0.2340000000000001,False,13
285,70,0.8044,0.5484,0.5744,0.5912,-0.31899999999999995,-0.25880000000000003,False,14
285,75,0.8022,0.5594,0.5868,0.589,-0.30799999999999994,-0.24640000000000006,False,15
285,80,0.8018,0.512,0.5418,0.5886,-0.35539999999999994,-0.2914000000000001,False,16
285,85,0.8084,0.5314,0.5704,0.5952,-0.33599999999999997,-0.26280000000000003,False,17
285,90,0.8042,0.5438,0.5804,0.591,-0.3236,-0.2528,False,18
285,95,0.8088,0.5106,0.5716,0.5955999999999999,-0.3567999999999999,-0.26160000000000005,False,19
285,100,0.8124,0.5276,0.5614,0.5992,-0.3398,-0.27180000000000004,False,20
285,105,0.8118,0.5486,0.6002,0.5986,-0.3188,-0.2330000000000001,False,21
285,110,0.8114,0.559,0.5762,0.5982000000000001,-0.3083999999999999,-0.257,False,22
285,115,0.8112,0.546,0.5836,0.5980000000000001,-0.3213999999999999,-0.24960000000000004,False,23
285,120,0.8132,0.5156,0.5514,0.6000000000000001,-0.3518,-0.28180000000000005,False,24
285,125,0.8074,0.5294,0.569,0.5942000000000001,-0.33799999999999997,-0.2642000000000001,False,25
285,130,0.816,0.5408,0.5586,0.6028,-0.3266,-0.27460000000000007,False,26
285,135,0.818,0.564,0.5704,0.6048,-0.3034,-0.26280000000000003,False,27
285,140,0.8144,0.5506,0.5706,0.6012,-0.31679999999999997,-0.26260000000000006,False,28
285,145,0.8182,0.5634,0.5678,0.605,-0.30399999999999994,-0.2654000000000001,False,29
285,150,0.818,0.5846,0.5914,0.6048,-0.28279999999999994,-0.24180000000000001,False,30
285,155,0.812,0.5342,0.5622,0.5988,-0.33319999999999994,-0.271,False,31
285,160,0.8212,0.5678,0.586,0.6080000000000001,-0.2996,-0.2472000000000001,False,32
285,165,0.818,0.568,0.5754,0.6048,-0.2994,-0.25780000000000003,False,33
285,170,0.821,0.5684,0.5928,0.6077999999999999,-0.29899999999999993,-0.24040000000000006,False,34
285,175,0.817,0.5672,0.5784,0.6037999999999999,-0.3001999999999999,-0.2548,False,35
285,180,0.816,0.5864,0.5692,0.6028,-0.2809999999999999,-0.264,False,36
285,185,0.8204,0.5648,0.5778,0.6072,-0.3026,-0.25540000000000007,False,37
285,190,0.818,0.5694,0.5856,0.6048,-0.29799999999999993,-0.24760000000000004,False,38
285,195,0.821,0.5598,0.5744,0.6077999999999999,-0.3076,-0.25880000000000003,False,39
285,200,0.8232,0.5758,0.5898,0.6100000000000001,-0.29159999999999997,-0.24340000000000006,False,40
